date,APPLE,NVIDIA,AMAZON,GOOGLE,マイクロソフト,SOXL
2020-01-02,75.087502,5.99775,94.90050,68.43400,160.62000,19.46400
2020-01-03,74.35750,5.90175,93.74850,68.075996,158.62000,18.41267
2020-01-06,74.95000,5.92650,95.14400,69.89050,159.029999,17.82867
2020-01-07,74.59750,5.99825,95.34300,69.75550,157.58000,18.74800
2020-01-08,75.79750,6.0095000,94.59850,70.25200,160.089996,18.78933
2020-01-09,77.40750,6.075500,95.052498,70.98950,162.089996,19.11400
2020-01-10,77.58250,6.10800,94.15800,71.44800,161.34000,18.72333
2020-01-13,79.24000,6.29950,94.56500,72.0015030,163.28000,19.45733
2020-01-14,78.17000,6.18200,93.47200,71.52950,162.13000,19.58267
2020-01-15,77.83500,6.13925,93.10100,71.96000,163.17999,18.87667
2020-01-16,78.81000,6.22325,93.89700,72.50800,166.17000,19.82267
2020-01-17,79.68250,6.23200,93.23600,73.97600,167.10001,20.20733
2020-01-21,79.14250,6.19850,94.60000,74.11250,166.5,20.17000
2020-01-22,79.42500,6.25275,94.37300,74.19350,165.70000,20.65133
2020-01-23,79.80750,6.32150,94.22900,74.23450,166.72000,21.12267
2020-01-24,79.57750,6.26200,93.082001,73.30850,165.039993,20.40867
2020-01-27,77.23750,6.0050001,91.41700,71.58650,162.28000,18.041332
2020-01-28,79.42250,6.19925,92.66250,72.52500,165.46001,19.33267
2020-01-29,81.084999,6.13850,92.90000,72.83500,168.039993,18.26667
2020-01-30,80.96750,6.14525,93.53400,72.71250,172.78000,18.19867
2020-01-31,77.37750,5.91075,100.43600,71.63900,170.23000,16.24067
2020-02-03,77.16500,6.0082502,100.21000,74.13000,174.38000,16.86067
2020-02-04,79.71250,6.17825,102.48350,72.27050,180.12000,18.43333
2020-02-05,80.36250,6.26900,101.99350,72.30250,179.89999,19.64000
2020-02-06,81.30250,6.35625,102.51150,73.79850,183.63000,19.65267
2020-02-07,80.0074997,6.28975,103.96400,73.95550,183.89000,18.26600
2020-02-10,80.38750,6.57425,106.69550,75.43300,188.70000,19.093332
2020-02-11,79.90250,6.69725,107.54000,75.50300,184.44000,20.23933
2020-02-12,81.80000,6.81350,108,75.93150,184.71001,21.12867
2020-02-13,81.21750,6.76950,107.49350,75.66950,183.71001,21.17533
2020-02-14,81.23750,7.24475,106.74350,75.93650,185.35001,21.039333
2020-02-18,79.75,7.41425,107.78350,75.97200,187.23000,20.16533
2020-02-19,80.90500,7.86750,108.51100,76.24350,187.28000,21.73200
2020-02-20,80.074997,7.71750,107.65500,75.84950,184.42000,20.76067
2020-02-21,78.26250,7.35175,104.79850,74.17300,178.59000,18.89667
2020-02-24,74.54500,6.83200,100.46450,70.99300,170.89000,16.20067
2020-02-25,72.019997,6.55125,98.63700,69.31600,168.070007,14.71267
2020-02-26,73.16250,6.69125,98.97950,69.52350,170.17000,14.83600
2020-02-27,68.38000,6.31500,94.21500,65.74750,158.17999,12.74200
2020-02-28,68.34000,6.75175,94.1875,66.96250,162.0099945,13.66667
2020-03-02,74.70250,6.91075,97.69750,69.31600,172.78999,15.020000
2020-03-03,72.33000,6.64725,95.44950,66.88600,164.50999,13.49933
2020-03-04,75.68500,7.11275,98.79150,69.080002,170.55000,15.47533
2020-03-05,73.23000,6.83225,96.20150,65.73800,166.27000,14.087333
2020-03-06,72.25750,6.65100,95.054497,64.78700,161.57001,13.24067
2020-03-09,66.54250,6.13600,90.030502,60.78950,150.62000,9.88600
2020-03-10,71.33500,6.52700,94.59100,63.75850,160.92000,11.77333
2020-03-11,68.85750,6.16175,91.042999,60.54500,153.63000,9.77600
2020-03-12,62.057499,5.40775,83.83050,55.57750,139.059998,6.80267
2020-03-13,69.49250,6.021000,89.25,60.71350,158.83000,8.66133
2020-03-16,60.55250,4.91000,84.45750,53.65000,135.42000,5.31867
2020-03-17,63.21500,5.43175,90.39200,55.90300,146.57001,5.84733
2020-03-18,61.66750,5.070500,91.5,54.55950,140.39999,4.33333
2020-03-19,61.19500,5.32425,94.046501,55.58350,142.71001,4.66200
2020-03-20,57.31000,5.14375,92.30450,53.41050,137.35001,4.26333
2020-03-23,56.092499,5.31725,95.14150,52.70650,135.98000,4.66000
2020-03-24,61.72000,6.22950,97.0049973,56.50050,148.34000,6.24933
2020-03-25,61.38000,6.14050,94.29200,55.081001,146.92000,6.0046668
2020-03-26,64.61000,6.43100,97.77450,58.14600,156.11000,7.20533
2020-03-27,61.93500,6.31825,95.0049973,55.51300,149.70000,6.096000
2020-03-30,63.70250,6.63975,98.19750,57.31550,160.23000,6.75200
2020-03-31,63.57250,6.59000,97.48600,58.097500,157.71001,6.31600
2020-04-01,60.22750,6.076750,95.38500,55.10500,152.11000,5.29400
2020-04-02,61.23250,6.38675,95.94150,55.85150,155.25999,5.77867
2020-04-03,60.35250,6.097750,95.32950,54.63500,153.83000,5.43533
2020-04-06,65.61750,6.71000,99.87950,59.15950,165.27000,7.10267
2020-04-07,64.85750,6.47575,100.58000,59.12800,163.49001,7.013333
2020-04-08,66.51750,6.67375,102.15000,60.35000,165.13000,7.71600
2020-04-09,66.99750,6.57375,102.13800,60.32850,165.14000,7.21000
2020-04-13,68.3125,6.74625,108.44350,60.52050,165.50999,7.47000
2020-04-14,71.76250,7.098750,114.16600,63.26150,173.70000,8.46200
2020-04-15,71.10750,7.021000,115.38400,62.86500,171.88000,7.77533
2020-04-16,71.67250,7.36750,120.40950,62.87150,177.039993,8.34733
2020-04-17,70.70000,7.30800,118.75,63.95000,178.60001,8.56400
2020-04-20,69.23250,7.17625,119.68050,63.057499,175.059998,8.011333
2020-04-21,67.092499,6.73775,116.40600,60.60800,167.82001,6.88600
2020-04-22,69.025002,7.15375,118.17450,62.92050,173.52000,8.039333
2020-04-23,68.75750,7.10025,119.97250,63.55850,171.42000,7.83533
2020-04-24,70.74250,7.23975,120.51100,63.83000,174.55000,8.33400
2020-04-27,70.79250,7.42700,118.80000,63.54300,174.050003,8.67067
2020-04-28,69.64500,7.28400,115.70400,61.62950,169.81000,8.53533
2020-04-29,71.93250,7.46150,118.63550,67.10900,177.42999,9.76000
2020-04-30,73.45000,7.30700,123.70000,67.33500,179.21001,8.73400
2020-05-01,72.26750,7.069500,114.30200,65.86600,174.57001,7.40667
2020-05-04,73.29000,7.28225,115.79950,66.14500,178.84000,7.61467
2020-05-05,74.39000,7.34350,115.89000,67.45100,180.75999,8.00066662
2020-05-06,75.15750,7.44475,117.56300,67.27150,182.53999,8.27800
2020-05-07,75.93500,7.62175,118.38050,68.46400,183.60001,8.52067
2020-05-08,77.53250,7.8125,118.98050,69.21700,184.67999,9.26533
2020-05-11,78.75250,8.065500,120.45000,70.17950,186.74001,9.24000
2020-05-12,77.85250,7.80250,117.84750,68.75900,182.50999,8.45667
2020-05-13,76.91250,7.78000,118.39600,67.41650,179.75,8.0013332
2020-05-14,77.38500,8.030500,119.44250,67.84300,180.53000,8.64067
2020-05-15,76.92750,8.49075,120.48900,68.65300,183.16000,8.099333
2020-05-18,78.74000,8.75025,121.31300,69.25900,184.91000,9.23267
2020-05-19,78.28500,8.80550,122.46650,68.72000,183.63000,9.12200
2020-05-20,79.80750,8.97000,124.89700,70.45800,185.66000,10.15933
2020-05-21,79.21250,8.77525,122.33700,70.33750,183.42999,9.37000
2020-05-22,79.72250,9.026250,121.84400,70.66200,183.50999,9.50600
2020-05-26,79.18250,8.71775,121.093002,71.068497,181.57001,9.80067
2020-05-27,79.52750,8.52525,120.51950,71.014000,181.81000,10.21933
2020-05-28,79.5625,8.48700,120.055000,70.91200,181.39999,9.54867
2020-05-29,79.48500,8.87550,122.11850,71.67600,183.25,10.27400
2020-06-01,80.46250,8.80625,123.55200,71.74350,182.83000,10.14667
2020-06-02,80.83500,8.82525,123.62050,72.11550,184.91000,10.80000
2020-06-03,81.28000,8.76950,123.92000,71.96250,185.36000,11.74667
2020-06-04,80.58000,8.76650,123.029999,70.71500,182.92000,12.056000
2020-06-05,82.875,8.92000,124.15000,72.00099945,187.20000,12.93400
2020-06-08,83.36500,8.80500,126.20300,72.40200,188.36000,12.85533
2020-06-09,85.99750,9.046000,130.042999,72.60400,189.80000,12.87733
2020-06-10,88.21000,9.36675,132.37250,73.23500,196.84000,12.99600
2020-06-11,83.97500,8.79625,127.89800,70.095001,186.27000,10.51600
2020-06-12,84.70000,8.93250,127.25100,70.64600,187.74001,10.95200
2020-06-15,85.74750,9.17375,128.63400,71.037003,188.94000,11.43267
2020-06-16,88.019997,9.068500,130.76350,72.32350,193.57001,12.038667
2020-06-17,87.89750,9.23600,132.048996,72.62700,194.24001,12.37200
2020-06-18,87.93250,9.21800,132.69901,71.70600,196.32001,12.31467
2020-06-19,87.43000,9.26125,133.75050,71.23200,195.14999,12.066667
2020-06-22,89.71750,9.52675,135.69099,72.53300,200.57001,12.38933
2020-06-23,91.63250,9.45000,138.22050,73.19900,201.91000,12.49133
2020-06-24,90.014999,9.23550,136.72000,71.63500,197.84000,11.65200
2020-06-25,91.21000,9.49000,137.72900,72.055000,200.34000,11.93867
2020-06-26,88.40750,9.15500,134.64349,68.12700,196.33000,11.22400
2020-06-29,90.44500,9.20000,134.018997,69.85850,198.44000,11.61000
2020-06-30,91.20000,9.49775,137.94099,70.90250,203.50999,12.54733
2020-07-01,91.027496,9.53000,143.93500,72.099998,204.70000,12.022667
2020-07-02,91.027496,9.61225,144.51500,73.49650,206.25999,12.47000
2020-07-06,93.46250,9.83925,152.85201,74.98250,210.70000,13.47000
2020-07-07,93.17250,9.87175,150.0059967,74.49600,208.25,12.97200
2020-07-08,95.34250,10.21600,154.055496,75.18000,212.83000,13.50867
2020-07-09,95.75250,10.50900,159.13150,75.93300,214.32001,14.046000
2020-07-10,95.92000,10.47925,160,76.95050,213.67000,13.90600
2020-07-13,95.47750,10.052250,155.20000,75.61150,207.070007,13.21200
2020-07-14,97.057503,10.37700,154.20000,76.042999,208.35001,13.91200
2020-07-15,97.72500,10.22725,150.44350,75.84400,208.039993,13.77267
2020-07-16,96.52250,10.13475,149.99500,75.74600,203.92000,13.60467
2020-07-17,96.32750,10.20150,148.098495,75.84250,202.88000,13.85667
2020-07-20,98.35750,10.51075,159.84200,78.19200,211.60001,14.71067
2020-07-21,97,10.32850,156.91451,77.79600,208.75,14.39933
2020-07-22,97.27250,10.43875,154.99550,78.24250,211.75,14.57200
2020-07-23,92.84500,10.12975,149.32750,75.83750,202.53999,13.89333
2020-07-24,92.61500,10.19450,150.44550,75.41050,201.30000,13.23133
